Rank,Benchmark,Variant,N,Energy Median (J),Energy Mean (J),SD (J),Power (W),CPU (%)
1,basic_string,OPTIMIZED,10,4249.04,4423.34,772.96,44.95,80.5
2,basic_string,G12,10,1618.66,1386.55,609.22,39.15,77.1
3,sequential_minimum_optimization,G14,10,340.60,342.81,8.24,9.70,20.3
4,sequential_minimum_optimization,BASELINE,10,340.26,342.55,11.26,9.74,20.7
5,sequential_minimum_optimization,G4,10,336.42,335.58,8.53,9.53,19.7
6,sequential_minimum_optimization,G1,10,336.19,345.33,16.70,9.81,20.7
7,sequential_minimum_optimization,G6,10,336.12,336.03,10.26,9.49,18.7
8,sequential_minimum_optimization,G3,10,324.57,325.55,4.12,9.53,20.6
9,sol1,G12,10,80.49,79.78,3.32,11.49,24.2
10,sol1,OPTIMIZED,10,79.35,79.27,4.59,11.52,24.1
