benchmark,BASELINE,G1,G12,G14,G3,G4,G6,G7,G9,OPTIMIZED
ant_colony_optimization_algorithms,+0.0,+3.4,+1.2,+0.4,+0.8,+8.6,+0.4,+0.3,+0.9,+2.6
basic_string,+0.0,+72.5,+122711.8,+121.5,+137.4,+100.5,+101.4,+118.4,+221.2,+322285.5
convolution_neural_network,+0.0,-6.0,NA,-8.4,-14.2,-59.0,-20.0,-7.7,NA,-16.2
kmeans,+0.0,-1.6,+50.2,+0.4,-0.3,NA,-4.5,-6.9,-4.1,+34.6
linear_discriminant_analysis,+0.0,+0.4,-0.4,-1.3,-1.0,-2.5,-0.7,-3.5,-6.1,-4.8
n_body_simulation,+0.0,-2.5,+290.9,-5.5,-4.5,-8.0,-7.3,-7.3,-8.2,-7.2
sequential_minimum_optimization,+0.0,-1.2,NA,+0.1,-4.6,-1.1,-1.2,-91.9,NA,-96.0
sol1,+0.0,-2.6,+8359.6,+25.5,-0.1,+0.6,-3.2,-1.5,+3.0,+8239.0
sol1_problem180,+0.0,-8.9,-55.6,+32.8,-55.8,-10.2,-11.3,-11.1,-13.3,-34.7
two_hidden_layers_neural_network,+0.0,-1.5,NA,NA,-1.2,NA,-2.1,-2.2,NA,-1.5
